name,k,m,iterations,real_time,cpu_time,time_unit
Exp3,100,1,10,2.18071,2.19771,ms
Exp3,1000,1,10,21.396,21.4162,ms
Exp3,10000,1,10,216.178,216.177,ms
Exp3,100000,1,10,2634.83,2634,ms
FPL,100,100,10,1.14197,1.16266,ms
FPL,1000,100,10,11.2947,11.2947,ms
FPL,10000,100,10,112.539,112.504,ms
FPL,100000,100,10,1124.6,1124.39,ms
Exp3Light,100,1,10,2.08816,2.11383,ms
Exp3Light,1000,1,10,20.721,20.7455,ms
Exp3Light,10000,1,10,302.952,302.968,ms
Exp3Light,100000,1,10,2453.72,2453.58,ms
Exp3IXTor,100,1,10,2.14421,2.16954,ms
Exp3IXTor,1000,1,10,20.7877,20.8081,ms
Exp3IXTor,10000,1,10,214.338,214.342,ms
Exp3IXTor,100000,1,10,2185.24,2185.03,ms
Exp3_heap,100,1,6885,0.0969629,0.324308,ms
Exp3_heap,1000,1,4387,0.154932,0.494554,ms
Exp3_heap,10000,1,3381,0.204823,0.661209,ms
Exp3_heap,100000,1,2730,0.256427,0.82169,ms
Exp3LightHeap,100,1,2483,0.279396,0.51179,ms
Exp3LightHeap,1000,1,1560,0.447881,0.79255,ms
Exp3LightHeap,10000,1,1137,0.613716,1.05566,ms
Exp3LightHeap,100000,1,890,0.8004,1.33139,ms
QBL,100,1,45588,0.015349,0.0764433,ms
QBL,1000,1,45542,0.0153815,0.0828039,ms
QBL,10000,1,45572,0.015365,0.0862072,ms
QBL,100000,1,45564,0.0153647,0.0859762,ms
Exp3m,100,10,10,7.72643,7.78444,ms
Exp3m,1000,100,10,74.246,74.5874,ms
Exp3m,10000,1000,10,862.413,865.726,ms
Exp3m,100000,10000,10,10815,10872.1,ms
FPL,100,10,10,3.89773,3.93524,ms
FPL,1000,100,10,52.4348,52.6226,ms
FPL,10000,1000,10,670.729,672.385,ms
FPL,100000,10000,10,8464.39,8509.57,ms
Exp3m_heap,100,10,10,4.816,6.86187,ms
Exp3m_heap,1000,100,10,75.2408,106.643,ms
Exp3m_heap,10000,1000,10,1013.51,1439.27,ms
Exp3m_heap,100000,10000,10,13048.1,18662.2,ms
QBL,100,10,50,0.227147,0.461703,ms
QBL,1000,100,50,2.80722,4.83839,ms
QBL,10000,1000,50,46.9693,67.2582,ms
QBL,100000,10000,50,484.759,761.77,ms
Exp3m,2000,2,50,161.551,161.583,ms
Exp3m,2000,20,50,156.297,156.383,ms
Exp3m,2000,200,50,154.668,155.327,ms
Exp3m,2000,2000,50,155.536,161.894,ms
FPL,2000,2,50,113.369,113.394,ms
FPL,2000,20,50,113.342,113.389,ms
FPL,2000,200,50,113.43,113.757,ms
FPL,2000,2000,50,113.108,116.06,ms
Exp3m_heap,2000,2,50,1.71545,2.44748,ms
Exp3m_heap,2000,20,50,16.3046,23.0814,ms
Exp3m_heap,2000,200,50,166.171,235.129,ms
Exp3m_heap,2000,2000,50,1546.9,2231.53,ms
QBL,2000,2,50,0.0567546,0.125698,ms
QBL,2000,20,50,0.503311,0.919894,ms
QBL,2000,200,50,6.3135,10.4283,ms
QBL,2000,2000,50,63.3605,129.913,ms
